"","CHR","POS1","POS2","N_CHR","R.2","D","Dprime","DIST","LEVEL","Rep","DIST_MB"
"1",1,18948315,19421221,100,0.025974,0.024,0.545455,472906,"[0,5e+05)","1",0.472906
"2",1,20818593,21228964,100,0.812646,-0.2246,-0.957374,410371,"[0,5e+05)","1",0.410371
"3",1,14417122,14813944,100,0.687151,-0.2062,-0.953747,396822,"[0,5e+05)","1",0.396822
"4",1,8328226,8754712,100,0.7056,0.21,0.84,426486,"[0,5e+05)","1",0.426486
"5",1,7156875,7503268,100,0.883864,0.2348,0.95915,346393,"[0,5e+05)","1",0.346393
"6",1,753285,808788,100,0.847756,0.23,0.958333,55503,"[0,5e+05)","1",0.055503
"7",1,11940340,12295486,100,0.687151,0.2062,0.953747,355146,"[0,5e+05)","1",0.355146
"8",1,2837093,3127575,100,0.586744,-0.1905,-0.863946,290482,"[0,5e+05)","1",0.290482
"9",1,14352579,14615417,100,0.960692,0.2444,1,262838,"[0,5e+05)","1",0.262838
"10",1,15505259,15699996,100,0.0501792,-0.028,-1,194737,"[0,5e+05)","1",0.194737
"11",1,14813944,15146467,100,0.716713,0.2108,0.95471,332523,"[0,5e+05)","1",0.332523
"12",1,14896485,14992086,100,0.639344,0.195,1,95601,"[0,5e+05)","1",0.095601
"13",1,12896982,13269658,100,0.846164,0.2296,0.919872,372676,"[0,5e+05)","1",0.372676
"14",1,1829468,2301230,100,0.786325,-0.2208,-1,471762,"[0,5e+05)","1",0.471762
"15",1,14437762,14615417,100,0.527387,0.1809,0.818923,177655,"[0,5e+05)","1",0.177655
"16",1,21731214,21860847,100,0.812927,0.225,0.957447,129633,"[0,5e+05)","1",0.129633
"17",1,21062023,21075966,100,0.847583,0.2297,0.958281,13943,"[0,5e+05)","1",0.013943
"18",1,10205654,10269529,100,0.577454,-0.1899,-0.759904,63875,"[0,5e+05)","1",0.063875
"19",1,5709263,6116979,100,0.786096,0.2205,1,407716,"[0,5e+05)","1",0.407716
"20",1,13058520,13471262,100,0.786325,0.2208,1,412742,"[0,5e+05)","1",0.412742
"21",1,8497465,8655529,100,0.0694789,-0.0336,-1,158064,"[0,5e+05)","1",0.158064
"22",1,7405385,7828433,100,0.775725,-0.2201,-0.916701,423048,"[0,5e+05)","1",0.423048
"23",1,9795755,10086694,100,0.00620585,0.0085,0.298246,290939,"[0,5e+05)","1",0.290939
"24",1,8907207,9263694,100,0.739318,0.2144,0.87725,356487,"[0,5e+05)","1",0.356487
"25",1,2011259,2301230,100,0.0184295,0.0184,0.479167,289971,"[0,5e+05)","1",0.289971
"26",1,11929292,12222253,100,0.710145,-0.21,-0.913043,292961,"[0,5e+05)","1",0.292961
"27",1,16731619,16934855,100,0.00407424,-0.0036,-1,203236,"[0,5e+05)","1",0.203236
"28",1,7199557,7503268,100,0.81018,-0.2248,-0.918301,303711,"[0,5e+05)","1",0.303711
"29",1,18782409,18910578,100,0.775641,-0.22,-0.916667,128169,"[0,5e+05)","1",0.128169
"30",1,6129780,6213574,100,0.0723171,0.0343,1,83794,"[0,5e+05)","1",0.083794
"31",1,14465060,14649016,100,0.755416,0.2162,1,183956,"[0,5e+05)","1",0.183956
"32",1,17347485,17752425,100,0.0752688,0.035,1,404940,"[0,5e+05)","1",0.40494
"33",1,9110993,9551562,100,0.568796,-0.187,-0.903382,440569,"[0,5e+05)","1",0.440569
"34",1,12872365,13365021,100,0.650326,-0.2008,-0.90942,492656,"[0,5e+05)","1",0.492656
"35",1,149039,252337,100,0.739318,0.2144,0.87725,103298,"[0,5e+05)","1",0.103298
"36",1,9757558,10101190,100,0.846341,0.2299,0.919968,343632,"[0,5e+05)","1",0.343632
"37",1,10044412,10086694,100,1,-0.0475,-1,42282,"[0,5e+05)","1",0.042282
"38",1,20852840,21062023,100,0.716813,-0.2109,-0.954731,209183,"[0,5e+05)","1",0.209183
"39",1,7503268,7893004,100,0.847583,-0.2297,-0.958281,389736,"[0,5e+05)","1",0.389736
"40",1,20324346,20335096,100,0.053155,0.0292,0.744898,10750,"[0,5e+05)","1",0.01075
"41",1,20298239,20324346,100,0.00079759,-0.0036,-0.107143,26107,"[0,5e+05)","1",0.026107
"42",1,2730820,3013767,100,0.77539,-0.2197,-0.916562,282947,"[0,5e+05)","1",0.282947
"43",1,11731513,11940340,100,0.0517087,-0.034,-0.62963,208827,"[0,5e+05)","1",0.208827
"44",1,8621721,9110993,100,0.779388,-0.22,-0.956522,489272,"[0,5e+05)","1",0.489272
"45",1,9263694,9602334,100,0.923077,-0.24,-1,338640,"[0,5e+05)","1",0.33864
